Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,layer.1 contribution,layer.2 contribution,layer.3 contribution,layer.4 contribution,layer.5 contribution,layer.6 contribution,layer.7 contribution,layer.1 permutation importance,layer.2 permutation importance,layer.3 permutation importance,layer.4 permutation importance,layer.5 permutation importance,layer.6 permutation importance,layer.7 permutation importance,Training gain without layer.1,Training gain without layer.2,Training gain without layer.3,Training gain without layer.4,Training gain without layer.5,Training gain without layer.6,Training gain without layer.7,Training gain with only layer.1,Training gain with only layer.2,Training gain with only layer.3,Training gain with only layer.4,Training gain with only layer.5,Training gain with only layer.6,Training gain with only layer.7,Test gain without layer.1,Test gain without layer.2,Test gain without layer.3,Test gain without layer.4,Test gain without layer.5,Test gain without layer.6,Test gain without layer.7,Test gain with only layer.1,Test gain with only layer.2,Test gain with only layer.3,Test gain with only layer.4,Test gain with only layer.5,Test gain with only layer.6,Test gain with only layer.7,AUC without layer.1,AUC without layer.2,AUC without layer.3,AUC without layer.4,AUC without layer.5,AUC without layer.6,AUC without layer.7,AUC with only layer.1,AUC with only layer.2,AUC with only layer.3,AUC with only layer.4,AUC with only layer.5,AUC with only layer.6,AUC with only layer.7,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,63,0.8846,1.0824,380,0.8750,7,1.1396,0.8820,0.0316,10063,26.0090,4.4201,33.0307,0.6563,3.4607,0.0282,32.3950,3.8430,3.9460,35.7535,3.1518,1.1256,0.1559,52.0242,0.8623,0.8630,0.8182,0.8773,0.8721,0.8844,0.6379,0.2429,0.1081,0.2896,0.0115,0.0898,0.0252,0.5875,1.1625,1.3284,1.0942,1.1489,1.1637,1.1310,0.4919,0.4023,-0.0823,0.4212,0.0282,0.1017,0.0994,0.9666,0.8894,0.9242,0.8803,0.8855,0.8923,0.8802,0.7560,0.7542,0.5431,0.7131,0.3804,0.4999,0.6619,0.8927,8.3311,0.2012,1.0000,0.0428,0.5750,0.0000,0.0000,2.078E-2,5.0000,0.1613,0.4149,0.0000,0.0000,2.116E-3,10.0000,0.2578,0.3363,0.0635,0.0000,4.863E-4,8.3957,0.2315,0.3567,0.0000,0.0000,7.34E-4,22.5557,0.4129,0.2349,0.0952,0.1429,9.397E-4,29.6909,0.4701,0.1981,0.1905,0.1429,3.507E-4,22.5557,0.4129,0.2349,0.0952,0.1429,9.397E-4,32.3196,0.4874,0.1863,0.2381,0.1429,2.461E-4,22.1572,0.4104,0.2373,0.0952,0.0000,4.238E-5,4.1871,0.1416,0.4338,0.0000,0.0000,2.889E-3,5.1164,0.1637,0.4125,0.0000,0.0000,2.032E-3
species_1,63,0.9063,1.1369,500,0.8846,7,1.0077,0.8609,0.0233,10063,24.2457,2.6021,32.4737,1.5287,2.5061,0.1510,36.4927,2.5583,3.8879,33.7700,2.7019,0.5614,0.4290,56.0916,0.8936,0.8906,0.8373,0.8955,0.8937,0.9047,0.6216,0.2429,0.1051,0.2880,0.0249,0.0751,0.0329,0.6052,0.9527,1.0711,0.9850,1.0857,1.0590,0.9987,0.7077,0.4023,0.0793,0.4382,-0.0701,0.1893,0.0302,0.8045,0.8560,0.8709,0.8659,0.8745,0.8683,0.8579,0.7998,0.7542,0.5593,0.7544,0.4606,0.5958,0.5684,0.8271,8.3101,0.1972,1.0000,0.0427,0.5722,0.0000,0.0000,2.008E-2,5.0000,0.1552,0.4146,0.0000,0.0000,2.105E-3,10.0000,0.2504,0.3349,0.0635,0.0000,4.724E-4,5.9997,0.1761,0.3943,0.0000,0.0000,1.482E-3,20.5329,0.3827,0.2436,0.0952,0.0000,5.085E-5,28.6767,0.4583,0.1987,0.2063,0.2857,4.539E-3,18.4288,0.3626,0.2578,0.0794,0.0000,7.563E-5,22.8219,0.4091,0.2295,0.1270,0.2857,8.751E-3,22.1687,0.4013,0.2332,0.1270,0.0000,3.754E-5,4.2443,0.1391,0.4324,0.0000,0.0000,2.825E-3,5.5128,0.1660,0.4039,0.0000,0.0000,1.752E-3
species_2,63,0.9424,1.1480,320,0.8869,7,0.7420,0.8205,0.0472,10063,24.5011,2.0024,30.6097,0.3180,1.5876,0.2429,40.7383,3.1505,2.8350,31.4264,2.8165,0.6290,0.9118,58.2308,0.9256,0.9314,0.8733,0.9355,0.9369,0.9397,0.6154,0.2562,0.0954,0.2900,0.0145,0.0766,0.0320,0.6630,0.7069,0.7398,0.7119,0.7328,0.6872,0.7489,0.8794,0.3005,0.1916,0.4179,0.0371,0.2102,0.0312,0.2648,0.8138,0.8188,0.8141,0.8178,0.8099,0.8216,0.8534,0.6929,0.6359,0.7193,0.5296,0.6699,0.5401,0.7130,8.2754,0.1903,1.0000,0.0429,0.5529,0.0000,0.0000,1.58E-2,5.0000,0.1560,0.3986,0.0000,0.1429,1.848E-2,10.0000,0.2513,0.3212,0.0635,0.1429,5.568E-3,5.0929,0.1577,0.3966,0.0000,0.1429,1.798E-2,20.5853,0.3881,0.2339,0.0952,0.2857,9.55E-3,24.8524,0.4288,0.2098,0.2063,0.2857,5.817E-3,17.2396,0.3515,0.2560,0.0635,0.2857,1.432E-2,16.2019,0.3397,0.2637,0.0635,0.2857,1.635E-2,16.1938,0.3397,0.2637,0.0635,0.1429,1.823E-3,4.0859,0.1350,0.4197,0.0000,0.0000,2.292E-3,5.4150,0.1637,0.3901,0.0317,0.1429,1.643E-2
species_3,63,0.9230,1.1271,460,0.8842,7,0.9060,0.8415,0.0378,10063,25.2233,1.5350,36.3600,0.6076,1.8614,0.3180,34.0946,3.3055,2.0655,38.2780,3.6688,0.5956,1.2955,50.7910,0.9065,0.9150,0.8485,0.9127,0.9155,0.9196,0.6522,0.2565,0.1013,0.3303,0.0128,0.0926,0.0423,0.5999,0.8749,0.8820,0.9743,0.9558,0.8860,0.9236,0.4884,0.2962,0.1461,0.0139,0.0559,0.0611,-0.0445,0.8570,0.8365,0.8374,0.8550,0.8504,0.8390,0.8447,0.7490,0.6587,0.6873,0.5082,0.6084,0.6219,0.4934,0.8532,8.2923,0.1936,1.0000,0.0442,0.5535,0.0000,0.0000,1.592E-2,5.0000,0.1588,0.4000,0.0000,0.0000,1.638E-3,10.0000,0.2605,0.3240,0.0794,0.0000,3.745E-4,5.1424,0.1618,0.3970,0.0000,0.0000,1.554E-3,18.8288,0.3770,0.2493,0.0952,0.2857,1.272E-2,29.3948,0.4676,0.1923,0.1905,0.4286,2.911E-2,18.8288,0.3770,0.2493,0.0952,0.2857,1.272E-2,15.9193,0.3424,0.2700,0.0952,0.2857,1.814E-2,12.8401,0.3050,0.2954,0.0794,0.0000,1.965E-4,4.2332,0.1370,0.4177,0.0000,0.0000,2.217E-3,5.1569,0.1622,0.3968,0.0159,0.0000,1.549E-3
species_4,63,0.9334,1.1409,400,0.8845,7,0.8022,0.8317,0.0443,10063,24.5583,2.0838,36.1751,0.3225,1.9813,0.0091,34.8699,3.0937,2.9327,38.8240,2.3447,1.6719,0.0000,51.1329,0.9166,0.9213,0.8482,0.9289,0.9254,0.9333,0.6453,0.2532,0.1121,0.3260,0.0130,0.0829,0.0253,0.6143,0.7760,0.8370,0.9572,0.7873,0.7880,0.7989,0.5795,0.3203,0.0303,0.0835,0.0447,0.1569,0.0995,0.7106,0.8274,0.8368,0.8586,0.8297,0.8270,0.8313,0.7898,0.6744,0.5084,0.6293,0.5516,0.6597,0.6595,0.7921,8.2852,0.1924,1.0000,0.0446,0.5492,0.0000,0.0000,1.508E-2,5.0000,0.1590,0.3984,0.0000,0.0000,1.593E-3,10.0000,0.2617,0.3239,0.0635,0.1429,5.835E-3,6.3300,0.1885,0.3736,0.0000,0.1429,1.295E-2,18.5133,0.3711,0.2518,0.0952,0.2857,1.33E-2,28.3239,0.4560,0.1975,0.1905,0.2857,4.405E-3,17.2956,0.3590,0.2603,0.0635,0.2857,1.541E-2,15.6560,0.3411,0.2723,0.0635,0.2857,1.883E-2,5.1356,0.1627,0.3956,0.0000,0.0000,1.517E-3,4.1138,0.1359,0.4187,0.0000,0.0000,2.254E-3,5.2243,0.1647,0.3939,0.0000,0.1429,1.732E-2
species_5,63,0.9257,1.1181,380,0.8826,7,0.8241,0.8456,0.0634,10063,29.9728,2.0142,31.3319,0.4994,3.2646,0.2504,32.6667,7.7607,3.2826,29.9808,2.1694,0.0000,0.7267,56.0797,0.8906,0.9168,0.8739,0.9204,0.9183,0.9205,0.6587,0.2934,0.1023,0.2870,0.0165,0.0932,0.0374,0.6121,1.0309,0.8046,0.6775,0.8265,0.8064,0.9122,0.3898,-0.1101,0.1347,0.4463,0.0118,0.0756,-0.0219,0.7595,0.8684,0.8405,0.8220,0.8470,0.8414,0.8565,0.7977,0.6724,0.5950,0.7714,0.4643,0.4908,0.6661,0.8140,8.2944,0.1941,1.0000,0.0432,0.5577,0.0000,0.0000,1.678E-2,5.0000,0.1580,0.4027,0.0159,0.1429,1.954E-2,10.0000,0.2573,0.3259,0.0635,0.1429,6.049E-3,4.9872,0.1578,0.4030,0.0000,0.1429,1.962E-2,20.8738,0.3941,0.2377,0.0952,0.2857,1.027E-2,30.5026,0.4709,0.1879,0.1905,0.2857,3.504E-3,16.8762,0.3543,0.2641,0.0635,0.1429,1.839E-3,18.4637,0.3715,0.2532,0.0952,0.2857,1.363E-2,18.4610,0.3715,0.2532,0.0952,0.1429,1.444E-3,4.0225,0.1370,0.4253,0.0000,0.1429,2.633E-2,5.2453,0.1638,0.3976,0.0159,0.1429,1.823E-2
species_6,63,0.9430,1.1555,440,0.8881,7,0.6301,0.8025,0.0444,10063,31.3493,2.0952,32.3611,0.6332,5.3120,0.4436,27.8056,4.3740,3.9343,30.9078,2.0311,0.5861,1.4619,56.7049,0.9187,0.9294,0.8839,0.9350,0.9267,0.9373,0.6856,0.2888,0.1204,0.2979,0.0365,0.0991,0.0423,0.6079,0.7017,0.6708,0.5304,0.6618,0.6808,0.6884,0.1523,-0.0399,-0.0346,0.3265,-0.2144,0.0138,-0.0572,0.7458,0.8117,0.8060,0.7871,0.8072,0.8082,0.8081,0.6898,0.5750,0.5114,0.6582,0.3113,0.5098,0.5200,0.8517,8.2750,0.1902,1.0000,0.0413,0.5573,0.0000,0.0000,1.669E-2,5.0000,0.1506,0.4002,0.0000,0.1429,1.889E-2,10.0000,0.2533,0.3218,0.0476,0.1429,5.627E-3,5.0364,0.1516,0.3993,0.0000,0.1429,1.866E-2,18.3475,0.3620,0.2483,0.0952,0.2857,1.25E-2,26.3338,0.4411,0.2021,0.2063,0.4286,3.458E-2,15.9444,0.3331,0.2660,0.0635,0.1429,1.915E-3,16.7904,0.3436,0.2596,0.0794,0.2857,1.523E-2,16.7787,0.3432,0.2596,0.0794,0.1429,1.664E-3,4.2818,0.1348,0.4170,0.0000,0.1429,2.364E-2,5.4890,0.1630,0.3899,0.0159,0.1429,1.638E-2
species_7,63,0.9368,1.1347,400,0.8842,7,0.7805,0.8269,0.0412,10063,24.4890,1.5002,31.7309,0.3282,3.1377,0.5012,38.3128,2.4300,1.9389,31.7784,2.4961,0.6362,1.5048,59.2157,0.9242,0.9299,0.8819,0.9305,0.9273,0.9306,0.6198,0.2498,0.0935,0.2876,0.0126,0.0926,0.0433,0.6495,0.7280,0.7587,0.6641,0.7940,0.7823,0.8390,0.8460,0.3563,0.2104,0.4420,0.0568,0.0861,-0.0580,0.3888,0.8203,0.8217,0.8099,0.8282,0.8260,0.8348,0.8463,0.7034,0.7071,0.7635,0.5852,0.5424,0.4943,0.7239,8.2775,0.1907,1.0000,0.0421,0.5619,0.0000,0.0000,1.768E-2,5.0000,0.1504,0.4031,0.0159,0.0000,1.728E-3,10.0000,0.2511,0.3241,0.0635,0.1429,5.855E-3,4.4072,0.1376,0.4169,0.0000,0.0000,2.188E-3,19.8836,0.3769,0.2398,0.0952,0.1429,1.057E-3,28.8735,0.4524,0.1905,0.1905,0.4286,2.818E-2,19.8836,0.3769,0.2398,0.0952,0.1429,1.057E-3,22.9572,0.4073,0.2212,0.1429,0.2857,7.411E-3,22.9496,0.4072,0.2212,0.1429,0.1429,6.646E-4,4.2708,0.1352,0.4203,0.0000,0.0000,2.315E-3,5.5765,0.1631,0.3909,0.0159,0.1429,1.662E-2
species_8,63,0.9220,1.1300,340,0.8837,7,0.9008,0.8432,0.0325,10063,26.2876,1.7731,32.3009,0.5026,3.3456,0.0643,35.7260,4.2889,3.1532,28.5640,3.3102,0.9400,0.0841,59.6596,0.9010,0.9128,0.8724,0.9131,0.9088,0.9206,0.6233,0.2636,0.0983,0.2865,0.0135,0.0977,0.0336,0.6237,0.9343,0.8886,0.7173,0.9565,0.9298,0.8986,0.7778,0.2098,0.1698,0.4493,0.0364,0.0376,0.0351,0.6354,0.8491,0.8396,0.8175,0.8550,0.8477,0.8420,0.8181,0.6235,0.6289,0.7909,0.5899,0.5324,0.5649,0.7806,8.2962,0.1944,1.0000,0.0425,0.5695,0.0000,0.0000,1.943E-2,5.0000,0.1530,0.4103,0.0000,0.0000,1.958E-3,10.0000,0.2525,0.3305,0.0794,0.0000,4.309E-4,5.6520,0.1665,0.3967,0.0000,0.0000,1.546E-3,16.3812,0.3393,0.2702,0.0952,0.1429,2.093E-3,26.5942,0.4360,0.2063,0.2063,0.2857,5.388E-3,16.0258,0.3344,0.2730,0.0794,0.1429,2.219E-3,22.1625,0.3991,0.2308,0.1429,0.2857,8.994E-3,12.8693,0.2945,0.3003,0.0794,0.0000,2.203E-4,4.2964,0.1374,0.4268,0.0000,0.0000,2.58E-3,5.5726,0.1652,0.3983,0.0000,0.0000,1.59E-3
species_9,63,0.9370,1.1360,440,0.8844,7,0.6390,0.8003,0.0313,10063,25.4476,1.9566,33.6057,0.6042,5.6971,0.4888,32.1999,3.2243,3.4553,30.1744,0.6171,1.4291,1.0942,60.0056,0.9204,0.9261,0.8991,0.9319,0.9150,0.9328,0.6747,0.2584,0.1257,0.3026,0.0335,0.1101,0.0342,0.6168,0.6055,0.6403,0.3739,0.7445,0.7659,0.6438,0.1578,0.2818,-0.0880,0.2728,-0.2362,-0.0812,0.0248,0.7042,0.7968,0.7993,0.7616,0.8142,0.8169,0.8001,0.6875,0.6601,0.5273,0.5565,0.3252,0.5738,0.5336,0.8014,8.2812,0.1914,1.0000,0.0404,0.5695,0.0000,0.0000,1.943E-2,5.0000,0.1501,0.4070,0.0000,0.0000,1.851E-3,10.0000,0.2454,0.3258,0.0794,0.1429,6.039E-3,7.4986,0.1994,0.3604,0.0000,0.1429,1.061E-2,15.7271,0.3311,0.2704,0.0952,0.1429,2.102E-3,27.5280,0.4431,0.1978,0.1905,0.4286,3.207E-2,7.4986,0.1994,0.3604,0.0000,0.1429,1.061E-2,20.1190,0.3804,0.2392,0.1429,0.2857,1.056E-2,6.7586,0.1855,0.3726,0.0000,0.0000,9.961E-4,4.4133,0.1355,0.4209,0.0000,0.0000,2.342E-3,5.6965,0.1632,0.3923,0.0000,0.0000,1.431E-3
species (average),63.0000,0.9254,1.1310,406.0000,0.8838,7.0000,0.8372,0.8355,0.0397,10063.0000,26.2084,2.1983,32.9980,0.6001,3.2154,0.2497,34.5302,3.8029,3.1431,32.9457,2.5308,0.8175,0.7664,55.9936,0.9060,0.9136,0.8637,0.9181,0.9140,0.9224,0.6434,0.2606,0.1062,0.2986,0.0189,0.0910,0.0349,0.6180,0.8473,0.8621,0.7686,0.8694,0.8549,0.8583,0.5471,0.2419,0.0757,0.3312,-0.0250,0.0851,0.0139,0.6837,0.8369,0.8395,0.8272,0.8410,0.8377,0.8377,0.7787,0.6769,0.5904,0.6865,0.4806,0.5696,0.5702,0.8050,8.2918,0.1936,1.0000,0.0427,0.5619,0.0000,0.0000,0.0178,5.0000,0.1552,0.4050,0.0032,0.0429,0.0070,10.0000,0.2541,0.3268,0.0667,0.0857,0.0037,5.8542,0.1728,0.3894,0.0000,0.0714,0.0087,19.2229,0.3735,0.2480,0.0952,0.2000,0.0065,28.0771,0.4524,0.1981,0.1968,0.3286,0.0148,17.0577,0.3461,0.2662,0.0698,0.1715,0.0061,20.3412,0.3822,0.2426,0.1191,0.2714,0.0118,15.6313,0.3221,0.2832,0.0762,0.0572,0.0009,4.2149,0.1368,0.4233,0.0000,0.0286,0.0070,5.4005,0.1639,0.3966,0.0095,0.0714,0.0093
